"exp_id","date","rep_id","time","strain","dox","OD0","OD"
9,2025-03-20,1,7,"t1516",32,0.05,0.414
9,2025-03-20,1,7,"t1516",16,0.05,0.344
9,2025-03-20,1,7,"t1516",8,0.05,0.437
9,2025-03-20,1,7,"t1516",4,0.05,0.348
9,2025-03-20,1,7,"t1516",2,0.05,0.469
9,2025-03-20,1,7,"t1516",1,0.05,0.425
9,2025-03-20,1,7,"t1516",0,0.05,0.472
9,2025-03-20,2,7,"t1516",512,0.05,0.251
9,2025-03-20,2,7,"t1516",256,0.05,0.355
9,2025-03-20,2,7,"t1516",128,0.05,0.345
9,2025-03-20,2,7,"t1516",64,0.05,0.404
9,2025-03-20,2,7,"t1516",32,0.05,0.399
9,2025-03-20,2,7,"t1516",16,0.05,0.467
9,2025-03-20,2,7,"t1516",8,0.05,0.403
9,2025-03-20,2,7,"t1516",4,0.05,0.379
9,2025-03-20,2,7,"t1516",2,0.05,0.429
9,2025-03-20,2,7,"t1516",1,0.05,0.399
9,2025-03-20,2,7,"t1516",0,0.05,0.465
9,2025-03-20,1,7,"t1516",512,0.1,0.398
9,2025-03-20,1,7,"t1516",256,0.1,0.492
9,2025-03-20,1,7,"t1516",128,0.1,0.531
9,2025-03-20,1,7,"t1516",64,0.1,0.542
9,2025-03-20,1,7,"t1516",32,0.1,0.532
9,2025-03-20,1,7,"t1516",16,0.1,0.599
9,2025-03-20,1,7,"t1516",8,0.1,0.536
9,2025-03-20,1,7,"t1516",4,0.1,0.532
9,2025-03-20,1,7,"t1516",2,0.1,0.603
9,2025-03-20,1,7,"t1516",1,0.1,0.535
9,2025-03-20,1,7,"t1516",0,0.1,0.718
9,2025-03-20,2,7,"t1516",512,0.1,0.152
9,2025-03-20,2,7,"t1516",256,0.1,0.231
9,2025-03-20,2,7,"t1516",128,0.1,0.327
9,2025-03-20,2,7,"t1516",64,0.1,0.305
9,2025-03-20,2,7,"t1516",32,0.1,0.47
9,2025-03-20,2,7,"t1516",16,0.1,0.362
9,2025-03-20,2,7,"t1516",8,0.1,0.298
9,2025-03-20,2,7,"t1516",4,0.1,0.398
9,2025-03-20,2,7,"t1516",2,0.1,0.336
9,2025-03-20,2,7,"t1516",1,0.1,0.362
9,2025-03-20,2,7,"t1516",0,0.1,0.425
9,2025-03-20,1,8,"h1471",512,0.01,0.024
9,2025-03-20,1,8,"h1471",256,0.01,0.058
9,2025-03-20,1,8,"h1471",128,0.01,0.05
9,2025-03-20,1,8,"h1471",64,0.01,0.09
9,2025-03-20,1,8,"h1471",32,0.01,0.069
9,2025-03-20,1,8,"h1471",16,0.01,0.159
9,2025-03-20,1,8,"h1471",8,0.01,0.184
9,2025-03-20,1,8,"h1471",4,0.01,0.167
9,2025-03-20,1,8,"h1471",2,0.01,0.165
9,2025-03-20,1,8,"h1471",1,0.01,0.165
9,2025-03-20,1,8,"h1471",0,0.01,0.246
9,2025-03-20,2,8,"h1471",512,0.01,0.05
9,2025-03-20,2,8,"h1471",256,0.01,0.09
9,2025-03-20,2,8,"h1471",128,0.01,0.069
9,2025-03-20,2,8,"h1471",64,0.01,0.159
9,2025-03-20,2,8,"h1471",32,0.01,0.184
9,2025-03-20,2,8,"h1471",16,0.01,0.167
9,2025-03-20,2,8,"h1471",8,0.01,0.165
9,2025-03-20,2,8,"h1471",4,0.01,0.165
9,2025-03-20,2,8,"h1471",2,0.01,0.246
9,2025-03-20,2,8,"h1471",1,0.01,0.231
9,2025-03-20,2,8,"h1471",0,0.01,0.334
9,2025-03-20,1,8,"t1516",512,0.01,0.18
9,2025-03-20,1,8,"t1516",256,0.01,0.186
9,2025-03-20,1,8,"t1516",128,0.01,0.203
9,2025-03-20,1,8,"t1516",64,0.01,0.202
9,2025-03-20,1,8,"t1516",32,0.01,0.205
9,2025-03-20,1,8,"t1516",16,0.01,0.228
9,2025-03-20,1,8,"t1516",8,0.01,0.224
9,2025-03-20,1,8,"t1516",4,0.01,0.245
9,2025-03-20,1,8,"t1516",2,0.01,0.253
9,2025-03-20,1,8,"t1516",1,0.01,0.229
9,2025-03-20,1,8,"t1516",0,0.01,0.308
9,2025-03-20,2,8,"t1516",512,0.01,0.186
9,2025-03-20,2,8,"t1516",256,0.01,0.205
9,2025-03-20,2,8,"t1516",128,0.01,0.198
9,2025-03-20,2,8,"t1516",64,0.01,0.192
9,2025-03-20,2,8,"t1516",32,0.01,0.209
9,2025-03-20,2,8,"t1516",16,0.01,0.2
9,2025-03-20,2,8,"t1516",8,0.01,0.2
9,2025-03-20,2,8,"t1516",4,0.01,0.224
9,2025-03-20,2,8,"t1516",2,0.01,0.237
9,2025-03-20,2,8,"t1516",1,0.01,0.248
9,2025-03-20,2,8,"t1516",0,0.01,0.283
9,2025-03-20,1,8,"t1516",512,0.05,0.292
9,2025-03-20,1,8,"t1516",256,0.05,0.46
9,2025-03-20,1,8,"t1516",128,0.05,0.482
9,2025-03-20,1,8,"t1516",64,0.05,0.483
9,2025-03-20,1,8,"t1516",32,0.05,0.52
9,2025-03-20,1,8,"t1516",16,0.05,0.428
